symbol,timestamp,open,high,low,close,volume,trade_count,vwap,rsi,label
AAPL,2024-09-16 04:00:00+00:00,216.54,217.22,213.92,216.32,59357427.0,870760.0,215.864965,39.0534034854754,0
AAPL,2024-09-17 04:00:00+00:00,215.75,216.9,214.5,216.79,45519339.0,651444.0,216.191099,40.12511029698393,0
AAPL,2024-09-18 04:00:00+00:00,217.55,222.71,217.54,220.69,59894928.0,833014.0,220.443008,48.25599828256657,0
AAPL,2024-09-19 04:00:00+00:00,224.99,229.82,224.63,228.87,66781315.0,808546.0,228.421566,60.402140075286745,1
AAPL,2024-09-20 04:00:00+00:00,229.97,233.09,227.62,228.2,318679888.0,971914.0,229.125739,59.17685706359303,1
AAPL,2024-09-23 04:00:00+00:00,227.34,229.45,225.81,226.47,54146023.0,693312.0,227.036015,56.01705180279894,1
AAPL,2024-09-24 04:00:00+00:00,228.645,229.35,225.73,227.37,43556068.0,519573.0,227.226809,57.294585754469765,1
AAPL,2024-09-25 04:00:00+00:00,224.93,227.29,224.02,226.37,42308715.0,564630.0,225.83909,55.37013899175771,0
AAPL,2024-09-26 04:00:00+00:00,227.3,228.5,225.41,227.52,36636707.0,433165.0,227.261165,57.15251834551561,1
AAPL,2024-09-27 04:00:00+00:00,228.46,229.52,227.3,227.79,34025967.0,504108.0,228.171141,57.58085684158745,1
AAPL,2024-09-30 04:00:00+00:00,230.04,233.0,229.65,233.0,54793391.0,710084.0,232.08941,64.87726020367126,2
AAPL,2024-10-01 04:00:00+00:00,229.52,229.65,223.74,226.21,63285048.0,832120.0,225.897039,52.26074831182785,1
AAPL,2024-10-02 04:00:00+00:00,225.89,227.37,223.02,226.78,32880605.0,504717.0,226.043352,53.085538154440655,2
AAPL,2024-10-03 04:00:00+00:00,225.14,226.805,223.32,225.67,34044158.0,516347.0,225.007676,51.22936092196077,1
AAPL,2024-10-04 04:00:00+00:00,227.9,228.0,224.13,226.8,37345098.0,558162.0,225.839189,53.02990917700159,0
AAPL,2024-10-07 04:00:00+00:00,224.5,225.69,221.33,221.69,39505354.0,607240.0,223.321699,44.94847531117682,0
AAPL,2024-10-08 04:00:00+00:00,224.3,225.98,223.25,225.77,31855693.0,495518.0,225.170803,51.326472300458974,1
AAPL,2024-10-09 04:00:00+00:00,225.23,229.75,224.83,229.54,33591091.0,519279.0,228.293881,56.35785047755406,1
AAPL,2024-10-10 04:00:00+00:00,227.78,229.5,227.17,229.04,28183544.0,446857.0,228.576787,55.5378826844894,0
AAPL,2024-10-11 04:00:00+00:00,229.3,229.41,227.34,227.55,31759188.0,485460.0,228.020953,53.06038248795853,0
AAPL,2024-10-14 04:00:00+00:00,228.7,231.73,228.6,231.3,39882085.0,580529.0,230.728854,58.12356688633442,1
AAPL,2024-10-15 04:00:00+00:00,233.61,237.49,232.37,233.85,64751367.0,827530.0,234.893394,61.18926679884003,1
AAPL,2024-10-16 04:00:00+00:00,231.6,232.12,229.84,231.78,34082240.0,551097.0,231.060277,57.50875055274784,0
AAPL,2024-10-17 04:00:00+00:00,233.43,233.85,230.52,232.15,32993810.0,487630.0,232.056313,57.995101195919766,0
AAPL,2024-10-18 04:00:00+00:00,236.18,236.18,234.01,235.0,46431472.0,562502.0,235.252634,61.63747869822568,2
